ticker,analyst_name,role,recommendation,target_price_cad,last_update,thesis_summary,key_risks,next_earnings,status,notes
TSX:SLF,TBD,Analyst,Hold,,2025-01-01,Well-diversified life insurer; Asia growth optionality; strong capital return.,Interest rate sensitivity; mortality/morbidity risk; competitive pressure.,Q1 2025,À revoir,
TSX:TD,TBD,Analyst,Hold,,2025-01-01,Retail banking franchise in Canada and US; dividend compounder.,AML/FINTRAC remediation costs; US retail underperformance; housing risk.,Q1 2025,À revoir,
TSX:BBD.B,TBD,Analyst,Watchlist,,2025-01-01,Business aviation recovery play; deleveraging story after restructuring.,High leverage; execution on deliveries; business jet cycle risk.,Q1 2025,À revoir,
TSX:ATD,TBD,Analyst,Buy,,2025-01-01,Global convenience consolidator; EV transition risk managed through fuel agnosticism.,Fuel volume secular decline; TotalEnergies integration; consumer trade-down.,Q1 2025,À revoir,
TSX:CSH.UN,TBD,Analyst,Watchlist,,2025-01-01,Senior housing REIT benefitting from aging demographics; occupancy recovery.,Interest rate sensitivity on REIT valuation; labor cost inflation.,Q1 2025,À revoir,
TSX:GIB.A,TBD,Analyst,Hold,,2025-01-01,Government IT compounder; defensive revenue mix; strong balance sheet.,Organic growth low; government budget scrutiny; talent competition.,Q1 2025,À revoir,
TSX:SVI,TBD,Analyst,Hold,,2025-01-01,Self-storage REIT consolidator in Canada; fragmented market with pricing power.,Rate sensitivity; Canadian housing weakness reduces moving demand.,Q1 2025,À revoir,
TSX:QSR,TBD,Analyst,Hold,,2025-01-01,Global franchise platform (BK/THB/Popeyes/FHS); asset-light FCF generation.,Consumer trade-down risk; franchisee health; menu innovation.,Q1 2025,À revoir,
TSX:FTS,TBD,Analyst,Hold,,2025-01-01,Regulated utility with 10-year capex plan; 50-year dividend growth streak.,Rate sensitivity; capex financing cost; regulatory lag.,Q1 2025,À revoir,
TSX:CCL.B,TBD,Analyst,Hold,,2025-01-01,Global specialty packaging leader; M&A-driven growth; diverse end markets.,Raw material cost pass-through; FX exposure; demand cyclicality.,Q1 2025,À revoir,
TSX:CP,TBD,Analyst,Buy,,2025-01-01,Only single-line railroad from Canada to Mexico; CPKC network synergies.,Integration complexity; regulatory risk; precision railroading execution.,Q1 2025,À revoir,
TSX:CAR.UN,TBD,Analyst,Hold,,2025-01-01,Largest Canadian residential REIT; rent growth in structurally undersupplied market.,Rent control expansion risk; rate sensitivity; tenant affordability ceiling.,Q1 2025,À revoir,
TSX:RCH,TBD,Analyst,Hold,,2025-01-01,Specialty hardware distributor; residential and commercial renovation exposure.,Housing market softness; margin compression on volumes.,Q1 2025,À revoir,
TSX:WCN,TBD,Analyst,Buy,,2025-01-01,Best-in-class waste management operator; pricing power; solid waste secular growth.,Premium valuation; tuck-in acquisition execution; regulatory compliance.,Q1 2025,À revoir,
TSX:CSU,TBD,Analyst,Hold,,2025-01-01,Vertical market software compounder; capital allocation excellence; moat per niche.,Valuation premium; M&A scarcity as market matures; key person risk (Hallett).,Q1 2025,À revoir,
TSX:DSG,TBD,Analyst,Buy,,2025-01-01,Global logistics SaaS with network effects; high retention; global trade tailwind.,Valuation requires sustained growth; macro trade slowdown risk.,Q1 2025,À revoir,
TSX:ATS,TBD,Analyst,Hold,,2025-01-01,Industrial automation with life sciences/EV exposure; recurring service revenues.,Project execution risk; EV capex slowdown; order book visibility.,Q1 2025,À revoir,
TSX:RCI.B,TBD,Analyst,Hold,,2025-01-01,Post-Shaw integration benefits materializing; wireless market share gains.,High leverage from Shaw acquisition; MVNO competition; sports rights cost.,Q1 2025,À revoir,
NASDAQ:LULU,TBD,Analyst,Watchlist,,2025-01-01,Premium athletic brand with loyal community; international expansion opportunity.,Brand momentum slowing in Americas; product misses; valuation compression.,Q1 2025,À revoir,
TSX:CTC.A,TBD,Analyst,Hold,,2025-01-01,Iconic Canadian retailer with diversified formats; strong loyalty program.,Discretionary spending weakness; auto parts competition; Triangle credit risk.,Q1 2025,À revoir,
TSX:MTY,TBD,Analyst,Watchlist,,2025-01-01,QSR franchise consolidator in Canada; recurring royalty revenues.,Same-store sales weakness; franchisee health; consumer trade-down.,Q1 2025,À revoir,
TSX:MG,TBD,Analyst,Hold,,2025-01-01,Leading auto supplier with EV optionality; global scale; diversified OEM exposure.,Auto cycle risk; EV transition uncertainty; labor cost inflation.,Q1 2025,À revoir,
TSX:LNR,TBD,Analyst,Hold,,2025-01-01,Diversified auto parts and agriculture equipment manufacturer; low valuation.,Cyclical exposure; auto OEM production risk; FX.,Q1 2025,À revoir,
NYSE:GIL,TBD,Analyst,Watchlist,,2025-01-01,Leading basic apparel manufacturer; vertical integration; Bangladesh and Honduras ops.,Governance risk post-activist campaign; demand cyclicality; cotton prices.,Q1 2025,À revoir,
