file,column,description,type,unit,source,required,notes
manual_valuation.csv,enterprise_value,EV = market cap + net debt + minority interest,float,CAD or USD,Capital IQ / Calculated,YES,Verify components: some sources include/exclude leases
manual_valuation.csv,pe,Trailing 12-month price-to-earnings,float,multiple (x),Capital IQ,NO,Leave blank if company has negative earnings
manual_valuation.csv,forward_pe,Next 12-month consensus P/E,float,multiple (x),Capital IQ / Consensus,NO,Based on analyst consensus estimates — note source
manual_valuation.csv,ev_ebitda,Enterprise value / EBITDA,float,multiple (x),Capital IQ / Calculated,YES,Core valuation multiple for most sectors
manual_valuation.csv,ev_ebit,Enterprise value / EBIT,float,multiple (x),Capital IQ / Calculated,NO,
manual_valuation.csv,ev_sales,Enterprise value / Revenue,float,multiple (x),Capital IQ / Calculated,NO,
manual_valuation.csv,price_sales,Market cap / Revenue,float,multiple (x),Capital IQ / Calculated,NO,
manual_valuation.csv,price_book,Market cap / Book value of equity,float,multiple (x),Capital IQ / Calculated,NO,
manual_valuation.csv,fcf_yield,Free cash flow / Market cap,float,decimal (0 to 1),Calculated,NO,= FCF / Market cap. e.g. 0.04 = 4%.
manual_valuation.csv,dividend_yield,Annual dividend / Price,float,decimal (0 to 1),Capital IQ / Manual,NO,
manual_valuation.csv,net_debt_ebitda,Net debt / EBITDA leverage ratio,float,ratio (x),Capital IQ / Calculated,NO,Key for balance sheet quality scoring
manual_valuation.csv,last_update,Date this row was last updated,date,YYYY-MM-DD,Manual/FIEUS,YES,
manual_valuation.csv,source,Origin of data for this row,string,—,Manual/FIEUS,YES,"e.g. Capital IQ export 2025-04-28"
manual_targets.csv,ciq_symbol,Capital IQ identifier — join key,string,—,Capital IQ,YES,
manual_targets.csv,company,Company name,string,—,Manual/FIEUS,YES,
manual_targets.csv,analyst,FIEUS analyst authoring this view,string,—,Manual/FIEUS,YES,First and last name or initials
manual_targets.csv,recommendation,FIEUS internal recommendation,string,—,FIEUS analyst,YES,"Allowed values: Buy / Hold / Watchlist / Sell / Under Review / No Coverage"
manual_targets.csv,target_price,12-month FIEUS analyst target price,float,CAD or USD,FIEUS analyst,YES,Analyst judgment — must be verified by investment committee
manual_targets.csv,upside_downside,Implied return to target vs current price,float,decimal (e.g. 0.15 = 15%),Calculated,NO,= (target_price / price) - 1. Can be negative.
manual_targets.csv,thesis_status,Current status of the investment thesis,string,—,FIEUS analyst,YES,"Active / Under Review / Thesis Broken / On Hold / À revoir"
manual_targets.csv,priority,Coverage priority level,string,—,FIEUS analyst,NO,"High / Medium / Low"
manual_targets.csv,next_earnings,Expected next earnings release,string,—,Manual/FIEUS,NO,"e.g. Q2 2025 or 2025-08-14"
manual_targets.csv,last_update,Date this analyst view was last updated,date,YYYY-MM-DD,Manual/FIEUS,YES,
manual_targets.csv,source,Origin of this analyst view,string,—,Manual/FIEUS,YES,Always: FIEUS analyst — never yfinance or FRED
manual_targets.csv,bull_case,Bull scenario thesis description,string,—,FIEUS analyst,NO,Qualitative. Max 300 characters.
manual_targets.csv,base_case,Base scenario thesis description,string,—,FIEUS analyst,NO,Qualitative. Max 300 characters.
manual_targets.csv,bear_case,Bear scenario thesis description,string,—,FIEUS analyst,NO,Qualitative. Max 300 characters.
manual_targets.csv,key_risks,Key risks to the investment thesis,string,—,FIEUS analyst,NO,Semi-colon separated list recommended
manual_targets.csv,key_metrics_to_watch,Metrics to track for thesis validation,string,—,FIEUS analyst,NO,Semi-colon separated list recommended
data_dictionary.csv,file,Name of the CSV file this column belongs to,string,—,FIEUS,YES,
data_dictionary.csv,column,Column name exactly as it appears in the CSV header,string,—,FIEUS,YES,
data_dictionary.csv,description,Human-readable description of what the column contains,string,—,FIEUS,YES,
data_dictionary.csv,type,Data type expected,string,—,FIEUS,YES,"string / integer / float / boolean / date"
data_dictionary.csv,unit,Unit of measurement,string,—,FIEUS,YES,"e.g. CAD, %, decimal, multiple (x), shares, YYYY-MM-DD"
data_dictionary.csv,source,Expected data source,string,—,FIEUS,YES,"Capital IQ / yfinance / FIEUS analyst / Calculated / Filing"
data_dictionary.csv,required,Whether this column is required for the dashboard to function,string,—,FIEUS,YES,YES or NO
data_dictionary.csv,notes,Additional context or warnings,string,—,FIEUS,NO,
